fichier,ligne,statut,code_pos,nom
MASTER_COLOR_JUILLET_2026.xlsx,3,IGNORE (deja importe),,YOUSSOUF - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,4,IGNORE (deja importe),,IDELETTE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,5,IGNORE (deja importe),,CHRISTOPHE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,6,IGNORE (deja importe),,HERMANN - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,7,IGNORE (deja importe),,EMILIE - BALI
MASTER_COLOR_JUILLET_2026.xlsx,8,IGNORE (deja importe),,ABOU - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,9,IGNORE (deja importe),,ISMAILLE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,10,IGNORE (deja importe),,MERLINE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,11,IGNORE (deja importe),,NONO - BALI
MASTER_COLOR_JUILLET_2026.xlsx,12,IGNORE (deja importe),,YOLANDE - CONGO
MASTER_COLOR_JUILLET_2026.xlsx,13,IGNORE (deja importe),,LOUIS - BALI
MASTER_COLOR_JUILLET_2026.xlsx,14,IGNORE (deja importe),,PRISCA - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,15,IGNORE (deja importe),,FLORENTINE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,16,IGNORE (deja importe),,PATIENCE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,17,IGNORE (deja importe),,KANOTE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,18,IGNORE (deja importe),,FLORENCE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,19,IGNORE (deja importe),,STAELLE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,20,IGNORE (deja importe),,CATHY - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,21,IGNORE (deja importe),,PASCAL - BALI
MASTER_COLOR_JUILLET_2026.xlsx,22,IGNORE (deja importe),,INESS - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,23,IGNORE (deja importe),,SANDO - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,24,IGNORE (deja importe),,YACOUBA - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,25,IGNORE (deja importe),,DIARRA - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,26,IGNORE (deja importe),,POMBOU - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,27,IGNORE (deja importe),,ABDOU - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,28,IGNORE (deja importe),,CATHY - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,29,IGNORE (deja importe),,MARIE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,30,IGNORE (deja importe),,RAPHINE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,31,IGNORE (deja importe),,DIALLO - BALI
MASTER_COLOR_JUILLET_2026.xlsx,32,IGNORE (deja importe),,BAH ALASSANA - CONGO
MASTER_COLOR_JUILLET_2026.xlsx,33,IGNORE (deja importe),,IRENE - CONGO
MASTER_COLOR_JUILLET_2026.xlsx,34,IGNORE (deja importe),,PAMELA - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,35,IGNORE (deja importe),,JEANNE - BALI
MASTER_COLOR_JUILLET_2026.xlsx,36,IGNORE (deja importe),,MAFFOUO - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,37,IGNORE (deja importe),,ERIC - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,38,IGNORE (deja importe),,MAEVA - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,3,IGNORE (deja importe),,YOUSSOUF - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,4,IGNORE (deja importe),,IDELETTE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,5,IGNORE (deja importe),,CHRISTOPHE - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,6,IGNORE (deja importe),,HERMANN - NEWBELL
MASTER_COLOR_JUILLET_2026.xlsx,7,IGNORE (deja importe),,EMILIE - BALI
MASTER_COLOR_JUILLET_2026.xlsx,8,IGNORE (deja importe),,ABOU - NEWBELL
